"","min","nb_0","% 0","max","nb_1","1st quart","median","3rd quart","% de cc>0.9","nb_rows_tot","nb_rows","% NA"
"Angolan_mopane","0","319550","0.24","0.99994","0","0","0","0.02","1e-05","1.354e+06","1.5092e+06","0.1"
"Angolan_wet","0","333411","0.17","0.97819","0","0","0.03","0.11","3e-05","1.918e+06","1.993e+06","0.04"
"Campos_Rupestres","0","74","0.05","0.83388","0","0.01","0.02","0.06","0","1.6e+03","1.7e+03","0.06"
"Central_bushveld","0","93423","0.16","0.93092","0","0","0.01","0.02","1e-05","5.716e+05","7.235e+05","0.21"
"Central_Zambezian","0","60379","0.09","0.99913","0","0.03","0.1","0.19","2e-05","6.693e+05","6.798e+05","0.02"
"Drakensberg_Escarpment","0","7360","0.21","0.91442","0","0","0","0.03","0.00011","3.56e+04","6.23e+04","0.43"
"Drakensberg_grasslands","0","35805","0.26","0.96771","0","0","0.01","0.03","0.00011","1.395e+05","2.539e+05","0.45"
"Dry_miombo","0","141416","0.08","0.9998","0","0.02","0.05","0.11","4e-05","1.674e+06","1.757e+06","0.05"
"East_Sudanian","0","109083","0.07","0.94994","0","0.02","0.06","0.13","2e-05","1.483e+06","1.6613e+06","0.11"
"Guinean_forest-savanna","0","252980","0.08","0.99982","0","0.03","0.1","0.22","0.00018","3.3517e+06","3.4765e+06","0.04"
"Horn_of","0","3066","0.52","0.79521","0","0","0","0.02","0","5.9e+03","6e+03","0.03"
"Itigi-Sumbu_thicket","0","111","0.28","0.72221","0","0","0.02","0.06","0","4e+02","4e+02","0"
"Kalahari_Acacia","0","130706","0.29","0.91764","0","0","0","0","0","4.554e+05","4.592e+05","0.01"
"Mandara_Plateau","0","3342","0.12","0.88452","0","0.01","0.03","0.08","0","2.86e+04","2.92e+04","0.02"
"Masai_xeric","0","21516","0.63","0.74305","0","0","0","0","0","3.44e+04","5.78e+04","0.4"
"Northern_Congolian","0","11390","0.03","0.97506","0","0.07","0.14","0.23","0.00016","3.504e+05","4.1e+05","0.15"
"Sahelian_Acacia","0","15217957","0.71","0.99997","0","0","0","0","1e-05","2.15454e+07","2.25452e+07","0.04"
"Serengeti_volcanic","0","608","0.49","0.44331","0","0","0","0.01","0","1.2e+03","1.2e+03","0"
"Southern_Congolian","0","27880","0.57","0.96256","0","0","0","0.02","6e-05","4.87e+04","4.91e+04","0.01"
"West_Sudanian","0","1131467","0.16","0.99987","0","0","0.03","0.09","5e-05","6.9691e+06","7.0162e+06","0.01"
"Western_Congolian","0","75260","0.26","0.99846","0","0","0.01","0.09","0.00019","2.933e+05","3.423e+05","0.14"
"Zambezian-Limpopo_mixed","0","85423","0.09","0.99948","0","0.01","0.02","0.06","2e-05","1.0008e+06","1.156e+06","0.13"
"Zambezian_Baikiaea","0","228552","0.09","0.9999","0","0.01","0.04","0.08","1e-05","2.521e+06","2.544e+06","0.01"
"Zambezian_mopane","0","186554","0.11","0.99599","0","0","0.02","0.06","2e-05","1.6467e+06","2.0477e+06","0.2"
