"","x","y","rh98","canopy_cover","fire_freq","mean_precip","cv_rainfall","eff_rainfall","mean_temp","temp_range","ecoregion","missing"
"Angolan_mopane",0,0,0,0.1,0.65,0.17,0.08,0,0.08,0.08,0,0.78
"Angolan_wet",0,0,0,0.04,0.14,0.01,0,0.04,0,0.02,0,0.18
"Campos_Rupestres",0,0,0,0.06,0.88,0,0,0,0,0,0,0.88
"Central_bushveld",0,0,0,0.21,0.66,0.07,0.07,0.07,0.07,0.07,0,0.74
"Central_Zambezian",0,0,0,0.02,0.05,0,0,0,0,0,0,0.0600000000000001
"Drakensberg_Escarpment",0,0,0,0.43,0.61,0.24,0.24,0,0.24,0.24,0,0.87
"Drakensberg_grasslands",0,0,0,0.45,0.49,0,0,0,0.44,0.44,0,0.76
"Dry_miombo",0,0,0,0.05,0.12,0,0.03,0,0,0,0,0.18
"East_Sudanian",0,0,0,0.11,0.09,0,0,0,0,0,0,0.2
"Guinean_forest-savanna",0,0,0,0.04,0.22,0.03,0.04,0.03,0.03,0.02,0,0.25
"Horn_of",0,0,0,0.03,1,0,0,0.21,0.21,0.21,0,1
"Itigi-Sumbu_thicket",0,0,0,0,0.86,0,0,0,0,0,0,0.86
"Kalahari_Acacia",0,0,0,0.01,0.39,0,0,0,0,0,0,0.39
"Mandara_Plateau",0,0,0,0.02,0.4,0,0,0,0,0,0,0.42
"Masai_xeric",0,0,0,0.4,0.98,0,0,0.07,0,0,0,0.99
"Northern_Congolian",0,0,0,0.15,0.28,0.14,0.14,0.14,0.14,0,0,0.29
"Sahelian_Acacia",0,0,0,0.04,0.89,0.02,0.02,0.02,0.01,0.02,0,0.89
"Serengeti_volcanic",0,0,0,0,1,0,0,0,0,0,0,1
"Southern_Congolian",0,0,0,0.01,0.06,0,0,0,0,0,0,0.07
"West_Sudanian",0,0,0,0.01,0.29,0,0,0.01,0,0.04,0,0.31
"Western_Congolian",0,0,0,0.14,0.1,0,0,0,0,0,0,0.22
"Zambezian-Limpopo_mixed",0,0,0,0.13,0.35,0,0,0,0,0,0,0.42
"Zambezian_Baikiaea",0,0,0,0.01,0.24,0,0,0,0,0,0,0.25
"Zambezian_mopane",0,0,0,0.2,0.57,0,0.02,0.07,0.04,0.04,0,0.62
